MLC ID,Commitment,Reporting Lead,All ministers
620,Fully implement Inuit land claim agreements.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
621,Meet regularly through the Inuit-Crown Partnership Committee to make progress on Inuit priorities.,Minister of Crown-Indigenous Relations,"Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Justice and Attorney General of Canada; Minister of Natural Resources; Minister of Transport; Deputy Prime Minister and Minister of Finance; President of the Treasury Board"
622,"Move forward on Self Government Recognition and Implementation Agreements with the Manitoba Métis Federation, the Métis Nation of Alberta, the Métis Nation of Ontario, and the Métis Nation of Saskatchewan, and on the Self-Government Framework Agreement with the Northwest Territory Métis Nation.",Minister of Crown-Indigenous Relations,"Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Deputy Prime Minister and Minister of Finance"
627,"Work with First Nations and provincial and territorial government partners to strengthen the governance and service delivery for First Nations emergency preparedness, management and recovery.",Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario,Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
631,Meet regularly with Métis partners to make progress on Métis priorities.,Minister of Crown-Indigenous Relations,"Minister of Crown-Indigenous Relations;
Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
632,Support Indigenous-led processes for rebuilding and reconstituting their nations.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
633,"Work in partnership on the implementation of the spirit and intent of treaties, and land claim and self-government agreements with appropriate oversight mechanisms to hold the federal government accountable.",Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
634,Accelerate work to redesign the Specific Claims process to provide just and timely resolution.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations; Minister of Justice and Attorney General of Canada; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
635,Support Indigenous-led processes for self-determination.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
700,Implement a new Canada Worker Lockdown Benefit.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
701,"Work with provinces and territories to train up to 50,000 new personal support workers.","Minister of Employment, Workforce Development and Disability Inclusion","Minister of Health; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Seniors"
702,Introduce a Canada Disability Benefit Act.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of Justice and Attorney General of Canada; Leader of the Government in the House of Commons"
703,Implement a Canada Disability Benefit for low-income working age persons with disabilities.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Deputy Prime Minister and Minister of Finance; Minister of National Revenue; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
704,Develop and implement a plan to modernize the EI system for the 21st Century.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Deputy Prime Minister and Minister of Finance; Minister of National Revenue"
705,Extend EI sickness benefits from 15 to 26 weeks.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of Labour"
706,Implement a new EI benefit for self-employed Canadians.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of National Revenue; Minister of Labour"
707,Implement a new 15-week benefit for adoptive parents.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of Labour"
708,Implement a new EI Career Insurance Benefit for long-tenured workers who have lost their job.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of National Revenue"
710,Finalize and release Canada's Disability Inclusion Action Plan.,"Minister of Employment, Workforce Development and Disability Inclusion","Minister of Employment, Workforce Development and Disability Inclusion; Minister of National Revenue; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Health; Deputy Prime Minister and Minister of Finance; Minister of Veteran's Affairs"
